key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2013-05-27 19:05:00.000000117,4.5,2013-05-27 19:05:00 UTC,-73.992388,40.753182,-73.995312,40.744415000000004,4
2010-01-28 11:38:00.00000022,6.5,2010-01-28 11:38:00 UTC,-73.992548,40.735652,-73.998802,40.723085,1
2011-05-05 19:34:01.0000001,4.5,2011-05-05 19:34:01 UTC,116.424573,39.980734,-73.996565,40.716309,1
2012-11-09 00:04:43.0000001,12.5,2012-11-09 00:04:43 UTC,-74.00654,40.70404,-74.008615,0.716227,1
2009-02-08 20:53:00.000000145,6.9,2009-02-08 20:53:00 UTC,-73.966732,40.764575,-73.954528,40.783735,1
2012-06-29 08:37:00.00000016,5.7,2012-06-29 08:37:00 UTC,-73.97831,40.750182,-73.980492,40.757893,1
2009-08-17 09:57:00.00000017,6.9,2009-08-17 09:57:00 UTC,0.0,0.0,0.0,0.0,1
2014-04-24 11:48:57.0000004,6.5,2014-04-24 11:48:57 UTC,-73.977765,40.764758,-73.977455,40.758019,1
2009-07-07 06:49:22.0000001,6.1,2009-07-07 06:49:22 UTC,-73.977527,40.779305,-73.985568,40.758209,1
2012-04-29 01:37:29.0000003,14.1,2012-04-29 01:37:29 UTC,-73.9939,40.751875,-73.914742,40.760052,1
