key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2010-02-03 20:51:29.0000003,12.9,2010-02-03 20:51:29 UTC,-73.95419100000001,40.764029,-73.91804300000001,40.766876,1
2013-06-09 13:42:00.00000036,14.5,2013-06-09 13:42:00 UTC,-74.00450699999999,40.741932,-74.005212,40.705271999999994,1
2012-02-16 12:47:00.000000215,105.7,2012-02-16 12:47:00 UTC,-73.98180699999999,40.762815,-73.97345200000001,40.757988,1
2012-04-22 09:49:00.0000003,6.9,2012-04-22 09:49:00 UTC,-73.99054699999999,40.730618,-73.974735,40.744263000000004,2
2009-07-21 15:06:20.0000002,9.7,2009-07-21 15:06:20 UTC,-73.98413199999999,40.746957,-73.957938,40.774613,2
2010-01-27 11:26:00.00000031,27.07,2010-01-27 11:26:00 UTC,-73.87459799999999,40.774158,-73.989672,40.741365,5
2013-03-12 23:12:40.0000004,288.5,2013-03-12 23:12:40 UTC,-73.993578,40.721211,-74.0034,40.735545,1
2014-04-24 11:48:57.0000004,6.5,2014-04-24 11:48:57 UTC,-73.977765,40.764758,-73.977455,40.758019,1
2012-09-15 22:42:22.0000004,9.0,2012-09-15 22:42:22 UTC,-73.985475,40.746988,-73.989092,40.73199,1
2009-01-04 12:53:00.00000076,16.9,2009-01-04 12:53:00 UTC,-73.997247,40.724292,-73.926185,40.700972,1
